municipio,uf,Cor ou raça,Sexo,Idade,habitantes
Embu-Guaçu,SP,Branca,Homens,0 a 4 anos,1138.0
Embu-Guaçu,SP,Branca,Homens,5 a 9 anos,1232.0
Embu-Guaçu,SP,Branca,Homens,10 a 14 anos,1150.0
Embu-Guaçu,SP,Branca,Homens,15 a 19 anos,1121.0
Embu-Guaçu,SP,Branca,Homens,20 a 24 anos,1112.0
Embu-Guaçu,SP,Branca,Homens,25 a 29 anos,1039.0
Embu-Guaçu,SP,Branca,Homens,30 a 34 anos,1016.0
Embu-Guaçu,SP,Branca,Homens,35 a 39 anos,1018.0
Embu-Guaçu,SP,Branca,Homens,40 a 44 anos,1158.0
Embu-Guaçu,SP,Branca,Homens,45 a 49 anos,999.0
Embu-Guaçu,SP,Branca,Homens,50 a 54 anos,940.0
Embu-Guaçu,SP,Branca,Homens,55 a 59 anos,760.0
Embu-Guaçu,SP,Branca,Homens,60 a 64 anos,771.0
Embu-Guaçu,SP,Branca,Homens,65 a 69 anos,656.0
Embu-Guaçu,SP,Branca,Homens,70 a 74 anos,414.0
Embu-Guaçu,SP,Branca,Homens,75 a 79 anos,279.0
Embu-Guaçu,SP,Branca,Homens,80 a 84 anos,140.0
Embu-Guaçu,SP,Branca,Homens,85 a 89 anos,59.0
Embu-Guaçu,SP,Branca,Homens,90 a 94 anos,17.0
Embu-Guaçu,SP,Branca,Homens,95 a 99 anos,9.0
Embu-Guaçu,SP,Branca,Homens,100 anos ou mais,1.0
Embu-Guaçu,SP,Branca,Mulheres,0 a 4 anos,1005.0
Embu-Guaçu,SP,Branca,Mulheres,5 a 9 anos,1185.0
Embu-Guaçu,SP,Branca,Mulheres,10 a 14 anos,1102.0
Embu-Guaçu,SP,Branca,Mulheres,15 a 19 anos,1118.0
Embu-Guaçu,SP,Branca,Mulheres,20 a 24 anos,1187.0
Embu-Guaçu,SP,Branca,Mulheres,25 a 29 anos,1138.0
Embu-Guaçu,SP,Branca,Mulheres,30 a 34 anos,1112.0
Embu-Guaçu,SP,Branca,Mulheres,35 a 39 anos,1273.0
Embu-Guaçu,SP,Branca,Mulheres,40 a 44 anos,1336.0
Embu-Guaçu,SP,Branca,Mulheres,45 a 49 anos,1203.0
Embu-Guaçu,SP,Branca,Mulheres,50 a 54 anos,1074.0
Embu-Guaçu,SP,Branca,Mulheres,55 a 59 anos,981.0
Embu-Guaçu,SP,Branca,Mulheres,60 a 64 anos,874.0
Embu-Guaçu,SP,Branca,Mulheres,65 a 69 anos,714.0
Embu-Guaçu,SP,Branca,Mulheres,70 a 74 anos,574.0
Embu-Guaçu,SP,Branca,Mulheres,75 a 79 anos,353.0
Embu-Guaçu,SP,Branca,Mulheres,80 a 84 anos,208.0
Embu-Guaçu,SP,Branca,Mulheres,85 a 89 anos,123.0
Embu-Guaçu,SP,Branca,Mulheres,90 a 94 anos,50.0
Embu-Guaçu,SP,Branca,Mulheres,95 a 99 anos,12.0
Embu-Guaçu,SP,Branca,Mulheres,100 anos ou mais,2.0
Embu-Guaçu,SP,Preta,Homens,0 a 4 anos,86.0
Embu-Guaçu,SP,Preta,Homens,5 a 9 anos,143.0
Embu-Guaçu,SP,Preta,Homens,10 a 14 anos,164.0
Embu-Guaçu,SP,Preta,Homens,15 a 19 anos,221.0
Embu-Guaçu,SP,Preta,Homens,20 a 24 anos,279.0
Embu-Guaçu,SP,Preta,Homens,25 a 29 anos,251.0
Embu-Guaçu,SP,Preta,Homens,30 a 34 anos,225.0
Embu-Guaçu,SP,Preta,Homens,35 a 39 anos,309.0
Embu-Guaçu,SP,Preta,Homens,40 a 44 anos,323.0
Embu-Guaçu,SP,Preta,Homens,45 a 49 anos,254.0
Embu-Guaçu,SP,Preta,Homens,50 a 54 anos,195.0
Embu-Guaçu,SP,Preta,Homens,55 a 59 anos,172.0
Embu-Guaçu,SP,Preta,Homens,60 a 64 anos,155.0
Embu-Guaçu,SP,Preta,Homens,65 a 69 anos,107.0
Embu-Guaçu,SP,Preta,Homens,70 a 74 anos,79.0
